Website,Contact Email,DA,Niche,Outreach Type,Status,Notes
shippingschool.com,contact@shippingschool.com,45,Shipping,Guest Post,Pending,
ecommercefuel.com,editor@ecommercefuel.com,62,E-commerce,Guest Post,Pending,
shipbob.com/blog,content@shipbob.com,71,Shipping,Resource Link,Pending,
practicalecommerce.com,editor@practicalecommerce.com,68,E-commerce,Guest Post,Pending,
startupbros.com,contact@startupbros.com,55,Business,Guest Post,Pending,
shippingeasy.com/blog,marketing@shippingeasy.com,58,Shipping,Resource Link,Pending,
easyship.com/blog,content@easyship.com,61,Shipping,Resource Link,Pending,
pirateship.com/blog,hello@pirateship.com,52,Shipping,Resource Link,Pending,
stamps.com/blog,content@stamps.com,74,Shipping,Resource Link,Pending,
shipstation.com/blog,marketing@shipstation.com,76,Shipping,Resource Link,Pending,
